Code,Zone,Type,YearFreq,MinMag,Bval,Lat,Lon,Dep,Desc
CJPS_CRUST_1_137,1,CRUST,0.000398736,4.98,0.9,45.0,139.4,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_138,1,CRUST,0.000399334,4.98,0.9,45.0,139.5,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_139,1,CRUST,0.000399809,4.98,0.9,45.0,139.6,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_140,1,CRUST,0.000400227,4.98,0.9,45.0,139.7,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_141,1,CRUST,0.000400396,4.98,0.9,45.0,139.8,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_142,1,CRUST,0.000399918,4.98,0.9,45.0,139.9,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_143,1,CRUST,0.000398596,4.98,0.9,45.0,140.0,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_144,1,CRUST,0.000396842,4.98,0.9,45.0,140.1,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_145,1,CRUST,0.000395558,4.98,0.9,45.0,140.2,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_146,1,CRUST,0.00039557,4.98,0.9,45.0,140.3,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_147,1,CRUST,0.00039705,4.98,0.9,45.0,140.4,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_148,1,CRUST,0.000399309,4.98,0.9,45.0,140.5,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CJPS_CRUST_1_149,1,CRUST,0.000401072,4.98,0.9,45.0,140.6,3.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
