Code,Type,YearFreq,MinMag,Bval,Lat,Lon,Dep,Desc
CPHL_INTRA_1_130,INTRA,0.000403203,4.98,0.9,35.0,136.0,69.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_131,INTRA,0.000410071,4.98,0.9,35.0,136.1,65.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_132,INTRA,0.000410786,4.98,0.9,35.0,136.2,61.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_133,INTRA,0.000414392,4.98,0.9,35.0,136.3,58.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_134,INTRA,0.000428819,4.98,0.9,35.0,136.4,55.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_135,INTRA,0.000459733,4.98,0.9,35.0,136.5,52.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_136,INTRA,0.000516295,4.98,0.9,35.0,136.6,50.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_137,INTRA,0.000608404,4.98,0.9,35.0,136.7,48.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_138,INTRA,0.000730703,4.98,0.9,35.0,136.8,46.9,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_139,INTRA,0.00085427,4.98,0.9,35.0,136.9,46.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_140,INTRA,0.000947007,4.98,0.9,35.0,137.0,45.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_141,INTRA,0.00100778,4.98,0.9,35.0,137.1,45.8,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_142,INTRA,0.00107469,4.98,0.9,35.0,137.2,45.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_143,INTRA,0.00118457,4.98,0.9,35.0,137.3,45.5,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_144,INTRA,0.00131827,4.98,0.9,35.0,137.4,45.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_145,INTRA,0.00140426,4.98,0.9,35.0,137.5,44.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_146,INTRA,0.00139503,4.98,0.9,35.0,137.6,43.3,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_147,INTRA,0.00133045,4.98,0.9,35.0,137.7,42.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_148,INTRA,0.00130304,4.98,0.9,35.0,137.8,40.1,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_149,INTRA,0.00135835,4.98,0.9,35.0,137.9,37.6,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CPHL_INTRA_1_150,INTRA,0.00144417,4.98,0.9,35.0,138.0,34.7,"GR(min=4.98,max=7.32,beta=2.07232658369)"
