Code,Type,YearFreq,MinMag,Bval,Lat,Lon,Dep,Desc
CYNG_INTER_1_127,INTER,0.0185787,4.98,0.9,24.0,122.9,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_128,INTER,0.0163259,4.98,0.9,24.0,123.0,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_129,INTER,0.0284016,4.98,0.9,23.9,122.3,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_130,INTER,0.0274071,4.98,0.9,23.9,122.4,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_131,INTER,0.0252943,4.98,0.9,23.9,122.5,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_132,INTER,0.0229391,4.98,0.9,23.9,122.6,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_133,INTER,0.0210966,4.98,0.9,23.9,122.7,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_134,INTER,0.0195285,4.98,0.9,23.9,122.8,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_135,INTER,0.0176653,4.98,0.9,23.9,122.9,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_136,INTER,0.0155147,4.98,0.9,23.9,123.0,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_137,INTER,0.0191946,4.98,0.9,23.8,122.3,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_138,INTER,0.0186691,4.98,0.9,23.8,122.4,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_139,INTER,0.0179033,4.98,0.9,23.8,122.5,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
CYNG_INTER_1_140,INTER,0.0173312,4.98,0.9,23.8,122.6,40.0,"GR(min=4.98,max=7.32,beta=2.07232658369)"
