,code,source,proba1an
301,CPHL_INTER_1_105,ZoneEarthquake,0.000186439
302,CGR5_25_11038,ZoneEarthquake,0.000865197
303,CGR5_25_11039,ZoneEarthquake,0.000918557
304,CPHL_INTER_1_100,ZoneEarthquake,0.000127656
305,CPHL_INTER_1_101,ZoneEarthquake,0.000132069
306,CGR5_15_7438,ZoneEarthquake,0.000568448
307,CGR5_15_7431,ZoneEarthquake,0.000576246
308,CGR5_15_7430,ZoneEarthquake,0.00055486
309,CGR5_15_7433,ZoneEarthquake,0.000602181
310,CGR5_15_7432,ZoneEarthquake,0.000594665
311,CGR5_15_7435,ZoneEarthquake,0.000583218
312,CGR5_15_7434,ZoneEarthquake,0.000596611
313,CGR5_15_7437,ZoneEarthquake,0.000565663
314,CGR5_15_7436,ZoneEarthquake,0.000570874
315,CPHL_INTRA_1_1056,ZoneEarthquake,0.00068701
316,CPHL_INTRA_1_1057,ZoneEarthquake,0.000658536
317,CPHL_INTRA_1_1054,ZoneEarthquake,0.000637712
318,CPHL_INTRA_1_1055,ZoneEarthquake,0.000682834
319,CPHL_INTRA_1_1052,ZoneEarthquake,0.000522193
320,CPHL_INTRA_1_1053,ZoneEarthquake,0.00057396
321,CPHL_INTRA_1_1050,ZoneEarthquake,0.000491199
322,CPHL_INTRA_1_1051,ZoneEarthquake,0.000496023
323,CPHL_INTRA_1_1058,ZoneEarthquake,0.000625695
324,CPHL_INTRA_1_1059,ZoneEarthquake,0.0006114
325,CPHL_INTER_5_2091,ZoneEarthquake,0.00218375
326,CPHL_INTER_5_2090,ZoneEarthquake,0.00228167
327,CPHL_INTER_5_2093,ZoneEarthquake,0.00277226
328,CPHL_INTER_5_2092,ZoneEarthquake,0.00232656
329,CPHL_INTER_5_2095,ZoneEarthquake,0.00446254
330,CPHL_INTER_5_2094,ZoneEarthquake,0.00351147
331,CPHL_INTER_5_2097,ZoneEarthquake,0.00603004
332,CPHL_INTER_5_2096,ZoneEarthquake,0.00542044
333,CPHL_INTER_5_2099,ZoneEarthquake,0.00504755
334,CPHL_INTER_5_2098,ZoneEarthquake,0.00592679
335,CPHL_INTRA_4_2551,ZoneEarthquake,0.0019765
336,CPHL_INTRA_4_2550,ZoneEarthquake,0.00162229
337,CPCF_INTRA_2_2022,ZoneEarthquake,0.00167004
338,CPHL_INTRA_4_2553,ZoneEarthquake,0.00316539
339,CPCF_INTRA_3_3219,ZoneEarthquake,0.000499209
340,CPCF_INTRA_3_3218,ZoneEarthquake,0.000489239
341,CPHL_INTRA_4_2552,ZoneEarthquake,0.00246473
342,CPCF_INTRA_3_3211,ZoneEarthquake,0.000446669
343,CPCF_INTRA_3_3210,ZoneEarthquake,0.000428215
344,CPCF_INTRA_3_3213,ZoneEarthquake,0.000488576
345,CPCF_INTRA_3_3212,ZoneEarthquake,0.000468926
346,CPCF_INTRA_3_3215,ZoneEarthquake,0.000499317
347,CPCF_INTRA_3_3214,ZoneEarthquake,0.000499078
348,CPCF_INTRA_3_3217,ZoneEarthquake,0.000488815
349,CPCF_INTRA_3_3216,ZoneEarthquake,0.000493846
350,CPHL_INTRA_5_3609,ZoneEarthquake,0.000898832
351,CGR5_21_7878,ZoneEarthquake,0.0010321
352,CPCF_INTRA_2_2023,ZoneEarthquake,0.00154978
353,CGR5_21_7879,ZoneEarthquake,0.000971711
354,CPHL_INTER_5_2327,ZoneEarthquake,0.00346173
355,CPHL_INTER_5_2326,ZoneEarthquake,0.00387148
356,CPHL_INTER_5_2325,ZoneEarthquake,0.00410884
357,CPHL_INTER_5_2324,ZoneEarthquake,0.00409616
358,CPHL_INTER_5_2323,ZoneEarthquake,0.00385696
