Code,Proba
CPHL_INTER_5_3430,0.0058102
CPHL_INTER_5_3431,0.00552056
F017201,5.4569360976e-08
CPCF_INTRA_1_1549,0.00302529
CPCF_INTRA_1_1548,0.00305046
CPCF_INTRA_1_1545,0.00333278
CPCF_INTRA_1_1544,0.00353421
CPCF_INTRA_1_1547,0.00310302
CPCF_INTRA_1_1546,0.00319262
CPCF_INTRA_1_1541,0.00433108
CPCF_INTRA_1_1540,0.00450751
CPCF_INTRA_1_1543,0.00379177
CPCF_INTRA_1_1542,0.00407488
CGR5_25_9430,0.000908817
CGR5_25_9431,0.00103076
CGR5_25_9432,0.0012155
CGR5_25_9433,0.00140213
CGR5_25_9434,0.00147723
CGR5_25_9435,0.0013779
CGR5_25_9436,0.00117399
CGR5_25_9437,0.00100189
CGR5_25_9438,0.000955672
CGR5_25_9439,0.00108177
CPCF_INTRA_12_6302,0.000293145
CPHL_INTRA_5_3046,0.00136187
CPHL_INTRA_5_3045,0.00131498
CPHL_INTRA_5_3044,0.00136683
CPHL_INTRA_5_3043,0.00136633
CPHL_INTRA_5_3042,0.00123455
CPHL_INTRA_5_3041,0.00102902
CPHL_INTRA_5_3040,0.000865066
F007801,0.000120474670055
F007802,0.000199980001333
F007803,0.000257894358535
CPHL_INTRA_5_4219,0.00114315
CPHL_INTRA_5_4218,0.00126941
CPHL_INTRA_5_4217,0.00141369
CPHL_INTRA_5_4216,0.00143051
CPHL_INTRA_5_4215,0.00127291
CPHL_INTRA_5_4214,0.0010401
CPHL_INTRA_5_4213,0.000854811
CPHL_INTRA_5_4212,0.000757526
CPHL_INTRA_5_4211,0.000721716
CPHL_INTRA_5_4210,0.000712234
CPCF_INTER_12_7858,0.00247838
CPCF_INTER_12_7859,0.00198265
CPCF_INTER_12_7850,0.00186391
CPCF_INTER_12_7851,0.00212145
CPCF_INTER_12_7852,0.00243347
CPCF_INTER_12_7853,0.00273335
CPCF_INTER_12_7854,0.0029641
CPHL_INTRA_1_878,0.000619324
CPHL_INTRA_1_879,0.000523946
CPHL_INTRA_1_874,0.000980114
CPHL_INTRA_1_875,0.000925187
CPHL_INTRA_1_876,0.000847906
CPHL_INTRA_1_877,0.000737627
CPHL_INTRA_1_870,0.00138284
CPHL_INTRA_1_871,0.0013084
CPHL_INTRA_1_872,0.00117762
CPHL_INTRA_1_873,0.00105625
CPHL_INTRA_5_1999,0.00179349
CPHL_INTRA_5_1998,0.00140113
CPHL_INTRA_5_1997,0.00109244
CPHL_INTRA_5_3979,0.00103716
CPHL_INTRA_5_3978,0.00100488
CPHL_INTRA_5_3752,0.00109054
CPHL_INTER_7_4523,0.000135465
CPHL_INTER_7_4522,0.00016226
CPHL_INTRA_5_3977,0.000935819
CPCF_INTER_4_4231,0.00427384
CPCF_INTER_4_4230,0.00459109
CPHL_INTRA_5_3976,0.000859999
CPHL_INTRA_4_2519,0.00132305
CPHL_INTRA_4_2518,0.00110064
CPHL_INTRA_4_2517,0.00100826
CPHL_INTRA_4_2516,0.000979059
CGR5_25_10958,0.00116604
CGR5_25_10959,0.00100004
CPCF_INTRA_13_7098,0.000501855
CGR5_25_10954,0.00229046
CGR5_25_10955,0.00209918
CGR5_25_10956,0.00176104
CGR5_25_10957,0.00142409
CPCF_INTER_12_7142,0.00385685
CGR5_25_10951,0.00143545
CGR5_25_10952,0.00185176
CGR5_25_10953,0.00220002
CPCF_INTRA_11_3206,0.00279826
CPCF_INTRA_11_3207,0.00323751
CPCF_INTRA_11_3204,0.00190905
CPCF_INTRA_11_3205,0.00231565
CPCF_INTRA_11_3202,0.00156491
CPCF_INTRA_11_3203,0.00166234
CIZU_3_1376,0.000410166
CPCF_INTRA_11_3201,0.00153089
CPCF_INTER_12_6435,0.00517793
CPCF_INTER_12_6434,0.00361465
CPCF_INTER_12_6437,0.00957966
CPCF_INTER_12_6436,0.00741241
CPCF_INTER_12_6431,0.00287297
CPCF_INTER_12_6430,0.00313132
CPCF_INTER_12_6433,0.0028898
