#
# VER. = 1.0
# DATE = 2017-04-12
#
PLE_AETRF,   1
AETRF,-8.1, 25.0, 484,Etorofuto-Oki Earthquake
 343,150.399, 44.396,150.394, 44.399, 13.0
 344,150.121, 44.786,150.116, 44.789, 24.0
 345,150.181, 44.728,150.176, 44.731, 20.9
 346,150.241, 44.670,150.236, 44.673, 18.6
 347,150.300, 44.613,150.295, 44.616, 17.1
 348,150.360, 44.555,150.355, 44.558, 15.7
 349,150.420, 44.497,150.415, 44.500, 14.4
 350,150.480, 44.439,150.475, 44.442, 13.1
 351,150.201, 44.829,150.196, 44.832, 23.8
 352,150.261, 44.771,150.256, 44.774, 20.6
 353,150.321, 44.713,150.316, 44.716, 18.6
 354,150.381, 44.655,150.376, 44.658, 17.2
 355,150.441, 44.597,150.436, 44.600, 15.8
 356,150.501, 44.539,150.496, 44.542, 14.4
 357,150.561, 44.481,150.556, 44.484, 13.1
 358,150.282, 44.872,150.277, 44.875, 24.0
 359,150.342, 44.814,150.337, 44.817, 21.2
 360,150.402, 44.756,150.397, 44.759, 19.1
 361,150.462, 44.698,150.457, 44.701, 17.4
 362,150.522, 44.640,150.517, 44.643, 15.9
 363,150.582, 44.582,150.577, 44.585, 14.5
 364,150.642, 44.524,150.637, 44.527, 13.2
 365,150.363, 44.914,150.358, 44.917, 24.2
 366,150.423, 44.856,150.418, 44.859, 21.5
 367,150.483, 44.798,150.478, 44.801, 19.2
 368,150.543, 44.740,150.538, 44.743, 17.4
 369,150.603, 44.682,150.598, 44.685, 15.9
 370,150.663, 44.625,150.658, 44.628, 14.5
 371,150.723, 44.567,150.718, 44.570, 13.2
 372,150.443, 44.957,150.438, 44.960, 24.3
 373,150.503, 44.899,150.498, 44.902, 21.4
 374,150.563, 44.841,150.558, 44.844, 19.1
 375,150.624, 44.783,150.619, 44.786, 17.3
 376,150.684, 44.725,150.679, 44.728, 15.8
 377,150.744, 44.667,150.739, 44.670, 14.5
 378,150.804, 44.609,150.799, 44.612, 13.3
 379,150.524, 45.000,150.519, 45.003, 24.1
 380,150.584, 44.942,150.579, 44.945, 20.9
 381,150.644, 44.884,150.639, 44.887, 18.6
 382,150.704, 44.826,150.699, 44.829, 17.1
 383,150.764, 44.768,150.759, 44.771, 15.8
 384,150.825, 44.710,150.820, 44.713, 14.5
 385,150.885, 44.652,150.880, 44.655, 13.3
 386,150.605, 45.042,150.600, 45.045, 23.9
 387,150.665, 44.984,150.660, 44.987, 20.7
 388,150.725, 44.926,150.720, 44.929, 18.7
 389,150.785, 44.868,150.780, 44.871, 17.2
 390,150.845, 44.810,150.840, 44.813, 15.9
 391,150.905, 44.752,150.900, 44.755, 14.6
 392,150.966, 44.694,150.961, 44.697, 13.3
 393,150.685, 45.085,150.680, 45.088, 24.2
 394,150.745, 45.027,150.740, 45.030, 21.3
 395,150.806, 44.969,150.801, 44.972, 19.2
 396,150.866, 44.911,150.861, 44.914, 17.4
 397,150.926, 44.853,150.921, 44.856, 15.9
 398,150.986, 44.795,150.981, 44.798, 14.6
 399,151.047, 44.737,151.042, 44.740, 13.3
 400,150.766, 45.128,150.761, 45.131, 24.5
 401,150.826, 45.070,150.821, 45.073, 21.7
 402,150.886, 45.012,150.881, 45.015, 19.3
 403,150.947, 44.954,150.942, 44.957, 17.5
 404,151.007, 44.896,151.002, 44.899, 15.9
 405,151.067, 44.838,151.062, 44.841, 14.6
 406,151.128, 44.780,151.123, 44.783, 13.3
 407,150.846, 45.170,150.841, 45.173, 24.5
 408,150.907, 45.112,150.902, 45.115, 21.5
 409,150.967, 45.054,150.962, 45.057, 19.1
 410,151.027, 44.996,151.022, 44.999, 17.2
 411,151.088, 44.938,151.083, 44.941, 15.8
 412,151.148, 44.880,151.143, 44.883, 14.5
 413,151.208, 44.822,151.203, 44.825, 13.3
 414,150.927, 45.213,150.922, 45.216, 24.3
 415,150.987, 45.155,150.982, 45.158, 21.0
 416,151.048, 45.097,151.043, 45.100, 18.6
 417,151.108, 45.039,151.103, 45.042, 17.1
 418,151.169, 44.981,151.164, 44.984, 15.8
 419,151.229, 44.923,151.224, 44.926, 14.5
 420,151.289, 44.865,151.284, 44.868, 13.3
 421,151.008, 45.256,151.003, 45.259, 24.1
 422,151.068, 45.198,151.063, 45.201, 20.9
 423,151.129, 45.140,151.124, 45.143, 18.7
 424,151.189, 45.082,151.184, 45.085, 17.1
 425,151.249, 45.024,151.244, 45.027, 15.8
 426,151.310, 44.966,151.305, 44.969, 14.5
 427,151.370, 44.908,151.365, 44.911, 13.3
 428,151.088, 45.298,151.083, 45.301, 24.2
 429,151.149, 45.240,151.144, 45.243, 21.3
 430,151.209, 45.182,151.204, 45.185, 19.0
 431,151.270, 45.124,151.265, 45.127, 17.3
 432,151.330, 45.066,151.325, 45.069, 15.8
 433,151.391, 45.008,151.386, 45.011, 14.5
 434,151.451, 44.950,151.446, 44.953, 13.2
 435,151.169, 45.341,151.164, 45.344, 24.2
 436,151.230, 45.283,151.225, 45.286, 21.4
 437,151.290, 45.225,151.285, 45.228, 19.1
 438,151.351, 45.167,151.346, 45.170, 17.3
 439,151.411, 45.109,151.406, 45.112, 15.8
 440,151.472, 45.051,151.467, 45.054, 14.4
 441,151.250, 45.384,151.245, 45.387, 23.9
 442,151.310, 45.326,151.305, 45.329, 21.0
 443,151.371, 45.268,151.366, 45.271, 18.7
 444,151.431, 45.210,151.426, 45.213, 17.1
 445,151.492, 45.152,151.487, 45.155, 15.7
 446,151.552, 45.094,151.547, 45.097, 14.4
 447,151.330, 45.426,151.325, 45.429, 23.4
 448,151.391, 45.368,151.386, 45.371, 20.2
 449,151.452, 45.310,151.447, 45.313, 18.4
 450,151.512, 45.252,151.507, 45.255, 17.0
 451,151.573, 45.194,151.568, 45.197, 15.6
 452,151.633, 45.136,151.628, 45.139, 14.3
 453,151.411, 45.469,151.406, 45.472, 23.1
 454,151.472, 45.411,151.467, 45.414, 20.3
 455,151.532, 45.353,151.527, 45.356, 18.5
 456,151.593, 45.295,151.588, 45.298, 16.9
 457,151.654, 45.237,151.649, 45.240, 15.5
 458,151.714, 45.179,151.709, 45.182, 14.2
 459,151.492, 45.512,151.487, 45.515, 23.4
 460,151.552, 45.454,151.547, 45.457, 20.7
 461,151.613, 45.396,151.608, 45.399, 18.6
 462,151.674, 45.338,151.669, 45.341, 16.9
 463,151.734, 45.280,151.729, 45.283, 15.5
 464,151.572, 45.554,151.567, 45.557, 23.4
 465,151.633, 45.496,151.628, 45.499, 20.6
 466,151.694, 45.438,151.689, 45.441, 18.4
 467,151.754, 45.380,151.749, 45.383, 16.7
 468,151.815, 45.322,151.810, 45.325, 15.3
 469,151.653, 45.597,151.648, 45.600, 22.9
 470,151.714, 45.539,151.709, 45.542, 20.0
 471,151.774, 45.481,151.769, 45.484, 18.0
 472,151.835, 45.423,151.830, 45.426, 16.6
 473,151.734, 45.640,151.729, 45.643, 22.4
 474,151.794, 45.582,151.789, 45.585, 19.6
 475,151.855, 45.524,151.850, 45.527, 18.0
 476,151.916, 45.466,151.911, 45.469, 16.5
 477,151.814, 45.682,151.809, 45.685, 22.7
 478,151.875, 45.624,151.870, 45.627, 20.1
 479,151.936, 45.566,151.931, 45.569, 18.1
 480,151.895, 45.725,151.890, 45.728, 22.9
 481,151.956, 45.667,151.951, 45.670, 20.2
 482,152.017, 45.609,152.012, 45.612, 18.1
 483,151.975, 45.769,151.970, 45.771, 22.6
 484,152.036, 45.710,152.031, 45.713, 19.8
