#
# VER. = 1.0
# DATE = 2017-04-12
#
LND_AGR1, 151
G030001, 6.6,   1,Rausu-dake fault zone
   2,128.619, 27.377,128.617, 27.381,  3.0,  2.8, 13.0,280.8, 90.0
G030176, 6.6,   1,Kinwan-segan fault zone
   1,127.810, 26.425,127.808, 26.429,  3.0, 11.4, 11.0,144.7, 90.0
G030178, 6.6,   1,Yonaguni-jima fault zone
   1,123.045, 24.456,123.043, 24.460,  3.0, 10.8, 11.0,261.4, 90.0
G030179, 6.9,   1,Noto-hantou fault
   1,136.510, 37.164,136.507, 37.167,  1.1, 34.5, 20.0, 55.0, 63.0
G030180, 6.6,   1,Ube-toubu-Shimosato fault
   1,131.334, 34.008,131.332, 34.011,  3.0, 12.2, 12.0, 29.1, 90.0
G030181, 6.8,   1,Ube-nantou-oki fault zone
   1,131.316, 33.768,131.314, 33.771,  3.0, 15.9, 15.0, 24.0, 90.0
G030182, 6.9,   1,Hime-jima-hokusei-oki fault zone
   1,131.537, 33.702,131.535, 33.705,  3.0, 18.2, 15.0, 29.4, 90.0
G030183, 6.8,   1,Itoshima-hanto-Oki fault group
   1,130.011, 33.668,130.009, 33.671,  3.0, 12.5, 12.5,121.1, 90.0
G030184, 6.8,   1,Saganoseki fault
   1,131.844, 33.242,131.842, 33.245,  3.0, 12.5, 12.0,240.8, 90.0
G030185, 6.8,   1,Taradake-nanseiroku fault zone
   1,129.953, 32.966,129.951, 32.969,  3.0, 15.2, 15.0,133.3, 90.0
G030186, 6.8,   1,Fukuragi fault
   1,131.777, 33.077,131.775, 33.080,  3.0, 10.0, 10.0,217.2, 90.0
G030187, 6.8,   1,Aso-gairin-nanroku fault group
   1,131.172, 32.766,131.170, 32.769,  3.0, 14.6, 15.0,254.1, 90.0
G030188, 6.8,   2,Tsurukiba fault zone
   1,130.810, 32.512,130.808, 32.515,  3.0,  6.7, 11.0,230.8, 90.0
   2,130.755, 32.474,130.753, 32.477,  3.0,  4.0, 11.0,262.9, 90.0
G030189, 6.8,   2,Kunimidake fault zone
   1,130.884, 32.502,130.882, 32.505,  3.0, 10.0, 13.0,240.5, 90.0
   2,130.791, 32.458,130.789, 32.461,  3.0,  3.1, 13.0,261.5, 90.0
G030190, 6.8,   1,Minamata fault zone
   1,130.419, 32.198,130.417, 32.201,  3.0, 10.5, 10.0,217.0, 90.0
G030191, 6.9,   2,Kagoshimawan-toen fault zone
   1,130.804, 31.696,130.802, 31.699,  3.0,  5.8, 15.0,163.6, 90.0
   2,130.822, 31.646,130.820, 31.649,  3.0, 11.3, 15.0,208.4, 90.0
G030192, 6.8,   1,Kagoshimawan-seien fault zone
   1,130.612, 31.647,130.610, 31.650,  3.0, 15.0, 15.0,210.3, 90.0
G030193, 6.8,   1,Ikedako-nishi fault zone
   1,130.585, 31.266,130.583, 31.270,  3.0,  9.5, 10.0,215.7, 90.0
