#
# VER. = 1.0
# DATE = 2017-04-12
#
PLE_ATHOP,   1
ATHOP,-9.0, 28.9, 907,Great East Japan Earthquake (2011 type)
 313,141.900, 38.300,141.896, 38.303, 45.8
 314,142.000, 38.300,141.996, 38.303, 42.6
 315,142.100, 38.300,142.096, 38.303, 39.4
 316,142.200, 38.300,142.196, 38.303, 35.7
 317,142.300, 38.300,142.296, 38.303, 32.0
 318,142.400, 38.300,142.396, 38.303, 29.2
 319,142.500, 38.300,142.496, 38.303, 27.0
 320,142.600, 38.300,142.596, 38.303, 25.0
 321,142.700, 38.300,142.696, 38.303, 23.2
 322,142.800, 38.300,142.796, 38.303, 21.4
 323,142.900, 38.300,142.896, 38.303, 19.9
 324,143.000, 38.300,142.996, 38.303, 18.5
 325,143.100, 38.300,143.096, 38.303, 17.2
 326,143.200, 38.300,143.196, 38.303, 16.0
 327,143.300, 38.300,143.296, 38.303, 14.8
 328,143.400, 38.300,143.396, 38.303, 13.7
 329,143.500, 38.300,143.496, 38.303, 12.5
 330,143.600, 38.300,143.596, 38.303, 11.3
 331,143.700, 38.300,143.696, 38.303, 10.3
 332,143.800, 38.300,143.796, 38.303,  9.4
 333,143.900, 38.300,143.896, 38.303,  8.5
 334,141.800, 38.200,141.796, 38.203, 48.1
 335,141.900, 38.200,141.896, 38.203, 44.8
 336,142.000, 38.200,141.996, 38.203, 41.5
 337,142.100, 38.200,142.096, 38.203, 38.0
 338,142.200, 38.200,142.196, 38.203, 34.5
 339,142.300, 38.200,142.296, 38.203, 31.1
 340,142.400, 38.200,142.396, 38.203, 28.5
 341,142.500, 38.200,142.496, 38.203, 26.4
 342,142.600, 38.200,142.596, 38.203, 24.5
 343,142.700, 38.200,142.696, 38.203, 22.7
 344,142.800, 38.200,142.796, 38.203, 20.9
 345,142.900, 38.200,142.896, 38.203, 19.4
 346,143.000, 38.200,142.996, 38.203, 18.2
 347,143.100, 38.200,143.096, 38.203, 16.9
 348,143.200, 38.200,143.196, 38.203, 15.7
 349,143.300, 38.200,143.296, 38.203, 14.5
 350,143.400, 38.200,143.396, 38.203, 13.4
 351,143.500, 38.200,143.496, 38.203, 12.2
 352,143.600, 38.200,143.596, 38.203, 11.1
 353,143.700, 38.200,143.696, 38.203, 10.1
 354,143.800, 38.200,143.796, 38.203,  9.2
 355,143.900, 38.200,143.896, 38.203,  8.3
 356,141.800, 38.100,141.796, 38.103, 47.1
 357,141.900, 38.100,141.896, 38.103, 43.7
 358,142.000, 38.100,141.996, 38.103, 40.3
 359,142.100, 38.100,142.096, 38.103, 36.8
 360,142.200, 38.100,142.196, 38.103, 33.3
 361,142.300, 38.100,142.296, 38.103, 30.0
 362,142.400, 38.100,142.396, 38.103, 27.8
 363,142.500, 38.100,142.496, 38.103, 25.8
 364,142.600, 38.100,142.596, 38.103, 24.0
 365,142.700, 38.100,142.696, 38.103, 22.2
 366,142.800, 38.100,142.796, 38.103, 20.6
 367,142.900, 38.100,142.896, 38.103, 19.1
 368,143.000, 38.100,142.996, 38.103, 17.8
 369,143.100, 38.100,143.096, 38.103, 16.6
 370,143.200, 38.100,143.196, 38.103, 15.4
 371,143.300, 38.100,143.296, 38.103, 14.3
 372,143.400, 38.100,143.396, 38.103, 13.1
 373,143.500, 38.100,143.496, 38.103, 12.0
 374,143.600, 38.100,143.596, 38.103, 10.9
 375,143.700, 38.100,143.696, 38.103,  9.8
 376,143.800, 38.100,143.796, 38.103,  9.0
 377,143.900, 38.100,143.896, 38.103,  8.1
 378,141.900, 38.000,141.896, 38.003, 42.5
 379,142.000, 38.000,141.996, 38.003, 39.1
 380,142.100, 38.000,142.096, 38.003, 35.6
 381,142.200, 38.000,142.196, 38.003, 32.2
 382,142.300, 38.000,142.296, 38.003, 29.3
 383,142.400, 38.000,142.396, 38.003, 27.2
 384,142.500, 38.000,142.496, 38.003, 25.3
 385,142.600, 38.000,142.596, 38.003, 23.5
 386,142.700, 38.000,142.696, 38.003, 21.8
 387,142.800, 38.000,142.796, 38.003, 20.1
 388,142.900, 38.000,142.896, 38.003, 18.8
 389,143.000, 38.000,142.996, 38.003, 17.5
 390,143.100, 38.000,143.096, 38.003, 16.3
 391,143.200, 38.000,143.196, 38.003, 15.1
 392,143.300, 38.000,143.296, 38.003, 14.0
 393,143.400, 38.000,143.396, 38.003, 12.9
 394,143.500, 38.000,143.496, 38.003, 11.7
 395,143.600, 38.000,143.596, 38.003, 10.7
 396,143.700, 38.000,143.696, 38.003,  9.7
 397,143.800, 38.000,143.796, 38.003,  8.8
 398,143.900, 38.000,143.896, 38.003,  7.9
 399,141.800, 37.900,141.796, 37.903, 44.6
 400,141.900, 37.900,141.896, 37.903, 41.2
 401,142.000, 37.900,141.996, 37.903, 37.9
 402,142.100, 37.900,142.096, 37.903, 34.4
 403,142.200, 37.900,142.196, 37.903, 31.2
 404,142.300, 37.900,142.296, 37.903, 28.6
 405,142.400, 37.900,142.396, 37.903, 26.6
 406,142.500, 37.900,142.496, 37.903, 24.8
 407,142.600, 37.900,142.596, 37.903, 23.0
 408,142.700, 37.900,142.696, 37.903, 21.4
 409,142.800, 37.900,142.796, 37.903, 19.8
 410,142.900, 37.900,142.896, 37.903, 18.5
 411,143.000, 37.900,142.996, 37.903, 17.2
 412,143.100, 37.900,143.096, 37.903, 16.0
 413,143.200, 37.900,143.196, 37.903, 14.8
 414,143.300, 37.900,143.296, 37.903, 13.7
 415,143.400, 37.900,143.396, 37.903, 12.6
 416,143.500, 37.900,143.496, 37.903, 11.5
 417,143.600, 37.900,143.596, 37.903, 10.5
 418,143.700, 37.900,143.696, 37.903,  9.5
 419,143.800, 37.900,143.796, 37.903,  8.7
 420,143.900, 37.900,143.896, 37.903,  7.7
 421,141.700, 37.800,141.697, 37.803, 46.6
 422,141.800, 37.800,141.797, 37.803, 43.1
 423,141.900, 37.800,141.896, 37.803, 39.7
 424,142.000, 37.800,141.996, 37.803, 36.5
 425,142.100, 37.800,142.096, 37.803, 33.3
 426,142.200, 37.800,142.196, 37.803, 30.3
 427,142.300, 37.800,142.296, 37.803, 27.9
 428,142.400, 37.800,142.396, 37.803, 26.0
 429,142.500, 37.800,142.496, 37.803, 24.3
 430,142.600, 37.800,142.596, 37.803, 22.6
 431,142.700, 37.800,142.696, 37.803, 20.9
 432,142.800, 37.800,142.796, 37.803, 19.5
 433,142.900, 37.800,142.896, 37.803, 18.1
 434,143.000, 37.800,142.996, 37.803, 16.9
 435,143.100, 37.800,143.096, 37.803, 15.7
 436,143.200, 37.800,143.196, 37.803, 14.5
 437,143.300, 37.800,143.296, 37.803, 13.4
 438,143.400, 37.800,143.396, 37.803, 12.3
 439,143.500, 37.800,143.496, 37.803, 11.3
 440,143.600, 37.800,143.596, 37.803, 10.3
 441,143.700, 37.800,143.696, 37.803,  9.4
 442,143.800, 37.800,143.796, 37.803,  8.5
 443,141.600, 37.700,141.597, 37.703, 48.7
 444,141.700, 37.700,141.697, 37.703, 44.9
 445,141.800, 37.700,141.797, 37.703, 41.4
 446,141.900, 37.700,141.896, 37.703, 38.2
 447,142.000, 37.700,141.996, 37.703, 35.1
 448,142.100, 37.700,142.096, 37.703, 32.1
 449,142.200, 37.700,142.196, 37.703, 29.4
 450,142.300, 37.700,142.296, 37.703, 27.3
 451,142.400, 37.700,142.396, 37.703, 25.5
 452,142.500, 37.700,142.496, 37.703, 23.7
 453,142.600, 37.700,142.596, 37.703, 22.1
 454,142.700, 37.700,142.696, 37.703, 20.5
 455,142.800, 37.700,142.796, 37.703, 19.1
 456,142.900, 37.700,142.896, 37.703, 17.7
 457,143.000, 37.700,142.996, 37.703, 16.5
 458,143.100, 37.700,143.096, 37.703, 15.3
 459,143.200, 37.700,143.196, 37.703, 14.1
 460,143.300, 37.700,143.296, 37.703, 13.0
 461,143.400, 37.700,143.396, 37.703, 12.0
 462,143.500, 37.700,143.496, 37.703, 11.0
 463,143.600, 37.700,143.596, 37.703, 10.0
 464,143.700, 37.700,143.696, 37.703,  9.2
 465,143.800, 37.700,143.796, 37.703,  8.3
 466,141.600, 37.600,141.597, 37.603, 47.0
 467,141.700, 37.600,141.697, 37.603, 43.2
 468,141.800, 37.600,141.797, 37.603, 39.8
 469,141.900, 37.600,141.897, 37.603, 36.7
 470,142.000, 37.600,141.996, 37.603, 33.8
 471,142.100, 37.600,142.096, 37.603, 31.1
 472,142.200, 37.600,142.196, 37.603, 28.7
 473,142.300, 37.600,142.296, 37.603, 26.7
 474,142.400, 37.600,142.396, 37.603, 24.9
 475,142.500, 37.600,142.496, 37.603, 23.2
 476,142.600, 37.600,142.596, 37.603, 21.5
 477,142.700, 37.600,142.696, 37.603, 20.0
 478,142.800, 37.600,142.796, 37.603, 18.6
 479,142.900, 37.600,142.896, 37.603, 17.3
 480,143.000, 37.600,142.996, 37.603, 16.1
 481,143.100, 37.600,143.096, 37.603, 14.9
 482,143.200, 37.600,143.196, 37.603, 13.7
 483,143.300, 37.600,143.296, 37.603, 12.7
 484,143.400, 37.600,143.396, 37.603, 11.6
 485,143.500, 37.600,143.496, 37.603, 10.6
 486,143.600, 37.600,143.596, 37.603,  9.7
 487,143.700, 37.600,143.696, 37.603,  8.9
 488,141.500, 37.500,141.497, 37.503, 48.9
 489,141.600, 37.500,141.597, 37.503, 45.1
 490,141.700, 37.500,141.697, 37.503, 41.4
 491,141.800, 37.500,141.797, 37.503, 38.2
 492,141.900, 37.500,141.897, 37.503, 35.3
 493,142.000, 37.500,141.996, 37.503, 32.5
 494,142.100, 37.500,142.096, 37.503, 30.0
 495,142.200, 37.500,142.196, 37.503, 27.9
 496,142.300, 37.500,142.296, 37.503, 26.0
 497,142.400, 37.500,142.396, 37.503, 24.3
 498,142.500, 37.500,142.496, 37.503, 22.6
 499,142.600, 37.500,142.596, 37.503, 21.0
 500,142.700, 37.500,142.696, 37.503, 19.5
 501,142.800, 37.500,142.796, 37.503, 18.1
 502,142.900, 37.500,142.896, 37.503, 16.8
 503,143.000, 37.500,142.996, 37.503, 15.6
 504,143.100, 37.500,143.096, 37.503, 14.4
 505,143.200, 37.500,143.196, 37.503, 13.3
 506,143.300, 37.500,143.296, 37.503, 12.2
 507,143.400, 37.500,143.396, 37.503, 11.2
 508,143.500, 37.500,143.496, 37.503, 10.3
 509,143.600, 37.500,143.596, 37.503,  9.4
 510,143.700, 37.500,143.696, 37.503,  8.5
 511,141.500, 37.400,141.497, 37.403, 46.7
 512,141.600, 37.400,141.597, 37.403, 43.1
 513,141.700, 37.400,141.697, 37.403, 39.7
 514,141.800, 37.400,141.797, 37.403, 36.7
 515,141.900, 37.400,141.897, 37.403, 33.9
 516,142.000, 37.400,141.997, 37.403, 31.2
 517,142.100, 37.400,142.096, 37.403, 28.9
 518,142.200, 37.400,142.196, 37.403, 27.0
 519,142.300, 37.400,142.296, 37.403, 25.3
 520,142.400, 37.400,142.396, 37.403, 23.6
 521,142.500, 37.400,142.496, 37.403, 22.1
 522,142.600, 37.400,142.596, 37.403, 20.5
 523,142.700, 37.400,142.696, 37.403, 19.0
