Code,Code1,Zone,Mesh ID,Process,Magnitude,Shape
CJPS_CRUST_1_125,CJPS_CRUST,1,125.0,FRQ(0.000398274),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.7 45.1)
CJPS_CRUST_1_122,CJPS_CRUST,1,122.0,FRQ(0.000396631),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (140.8 45.2)
CJPS_CRUST_1_123,CJPS_CRUST,1,123.0,FRQ(0.000399331),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.5 45.1)
CJPS_CRUST_1_120,CJPS_CRUST,1,120.0,FRQ(0.000397472),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (140.6 45.2)
CJPS_CRUST_1_121,CJPS_CRUST,1,121.0,FRQ(0.000397771),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (140.7 45.2)
CJPS_CRUST_1_128,CJPS_CRUST,1,128.0,FRQ(0.000396674),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (140 45.1)
CJPS_CRUST_1_129,CJPS_CRUST,1,129.0,FRQ(0.000395463),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (140.1 45.1)
CJPS_CRUST_1_68,CJPS_CRUST,1,68.0,FRQ(0.00038765),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (140.4 45.6)
CJPS_CRUST_1_69,CJPS_CRUST,1,69.0,FRQ(0.000387024),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (140.5 45.6)
CJPS_CRUST_1_591,CJPS_CRUST,1,591.0,FRQ(0.000664806),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.7 41.7)
CJPS_CRUST_1_62,CJPS_CRUST,1,62.0,FRQ(0.000385879),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (140.9 45.7)
CJPS_CRUST_1_63,CJPS_CRUST,1,63.0,FRQ(0.000391653),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.9 45.6)
CJPS_CRUST_1_60,CJPS_CRUST,1,60.0,FRQ(0.000385815),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (140.7 45.7)
CJPS_CRUST_1_61,CJPS_CRUST,1,61.0,FRQ(0.000385813),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (140.8 45.7)
CJPS_CRUST_1_66,CJPS_CRUST,1,66.0,FRQ(0.000389745),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (140.2 45.6)
CJPS_CRUST_1_67,CJPS_CRUST,1,67.0,FRQ(0.0003886),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (140.3 45.6)
CJPS_CRUST_1_64,CJPS_CRUST,1,64.0,FRQ(0.000391504),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (140 45.6)
CJPS_CRUST_1_65,CJPS_CRUST,1,65.0,FRQ(0.000390811),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (140.1 45.6)
CJPS_CRUST_1_625,CJPS_CRUST,1,625.0,FRQ(0.000793278),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.8 41.4)
CJPS_CRUST_1_624,CJPS_CRUST,1,624.0,FRQ(0.000672),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.7 41.4)
CJPS_CRUST_1_627,CJPS_CRUST,1,627.0,FRQ(0.00096873),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139 41.4)
CJPS_CRUST_1_626,CJPS_CRUST,1,626.0,FRQ(0.000906857),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.9 41.4)
CJPS_CRUST_1_621,CJPS_CRUST,1,621.0,FRQ(0.000672496),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.8 41.5)
CJPS_CRUST_1_620,CJPS_CRUST,1,620.0,FRQ(0.000632034),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.7 41.5)
CJPS_CRUST_1_623,CJPS_CRUST,1,623.0,FRQ(0.000574454),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.6 41.4)
CJPS_CRUST_1_622,CJPS_CRUST,1,622.0,FRQ(0.000509353),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (138.5 41.4)
CJPS_CRUST_1_629,CJPS_CRUST,1,629.0,FRQ(0.000866356),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.2 41.4)
CJPS_CRUST_1_628,CJPS_CRUST,1,628.0,FRQ(0.000951524),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.1 41.4)
CJPS_CRUST_1_427,CJPS_CRUST,1,427.0,FRQ(0.000427682),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (140 43.3)
CJPS_CRUST_1_426,CJPS_CRUST,1,426.0,FRQ(0.00043705),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.9 43.3)
CJPS_CRUST_1_425,CJPS_CRUST,1,425.0,FRQ(0.000459143),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.8 43.3)
CJPS_CRUST_1_424,CJPS_CRUST,1,424.0,FRQ(0.000500612),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.7 43.3)
CJPS_CRUST_1_423,CJPS_CRUST,1,423.0,FRQ(0.000560678),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.6 43.3)
CJPS_CRUST_1_422,CJPS_CRUST,1,422.0,FRQ(0.000626617),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.5 43.3)
CJPS_CRUST_1_421,CJPS_CRUST,1,421.0,FRQ(0.000678588),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.4 43.3)
CJPS_CRUST_1_420,CJPS_CRUST,1,420.0,FRQ(0.00070243),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.3 43.3)
CJPS_CRUST_1_429,CJPS_CRUST,1,429.0,FRQ(0.000733671),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.1 43.2)
CJPS_CRUST_1_428,CJPS_CRUST,1,428.0,FRQ(0.000707461),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139 43.2)
CJPS_CRUST_1_399,CJPS_CRUST,1,399.0,FRQ(0.000567566),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.4 43.5)
CJPS_CRUST_1_398,CJPS_CRUST,1,398.0,FRQ(0.000573381),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.3 43.5)
CJPS_CRUST_1_395,CJPS_CRUST,1,395.0,FRQ(0.00045816),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (140.3 43.6)
CJPS_CRUST_1_394,CJPS_CRUST,1,394.0,FRQ(0.000441589),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (140.2 43.6)
CJPS_CRUST_1_397,CJPS_CRUST,1,397.0,FRQ(0.000564504),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.2 43.5)
CJPS_CRUST_1_396,CJPS_CRUST,1,396.0,FRQ(0.000547939),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.1 43.5)
CJPS_CRUST_1_391,CJPS_CRUST,1,391.0,FRQ(0.000428634),"GR(min=4.98,max=7.32,beta=2.07232658369)",POINT (139.9 43.6)
